ModelName,Label,InferenceTime,Recognition,Accuracy
,,,strainer,7
mobilenet_v2_0.75_96_quant,label,0.013084650039672852
,,,window screen,54
,,,fire screen sheet,50
,,,window shade,11
,,,doormat,9
,,,strainer,7
mobilenet_v2_0.75_96_quant,label,0.013258695602416992
,,,window screen,54
,,,fire screen sheet,50
,,,window shade,11
,,,doormat,9
,,,strainer,7
mobilenet_v2_0.75_96_quant,label,0.013291120529174805
,,,window screen,54
,,,fire screen sheet,50
,,,window shade,11
,,,doormat,9
,,,strainer,7
mobilenet_v2_0.75_96_quant,label,0.013153791427612305
,,,window screen,54
,,,fire screen sheet,50
,,,window shade,11
,,,doormat,9
,,,strainer,7
mobilenet_v2_0.75_96_quant,label,0.013272523880004883
,,,window screen,54
,,,fire screen sheet,50
,,,window shade,11
,,,doormat,9
,,,strainer,7
mobilenet_v2_0.75_96_quant,label,0.013248682022094727
,,,window screen,54
,,,fire screen sheet,50
,,,window shade,11
,,,doormat,9
,,,strainer,7
mobilenet_v2_0.75_96_quant,label,0.013150930404663086
,,,window screen,54
,,,fire screen sheet,50
,,,window shade,11
,,,doormat,9
,,,strainer,7
mobilenet_v2_0.75_96_quant,label,0.013223409652709961
,,,window screen,54
,,,fire screen sheet,50
,,,window shade,11
,,,doormat,9
,,,strainer,7
mobilenet_v2_0.75_96_quant,label,0.013379335403442383
,,,window screen,54
,,,fire screen sheet,50
,,,window shade,11
,,,doormat,9
,,,strainer,7
mobilenet_v2_0.75_96_quant,label,0.013278961181640625
,,,window screen,54
,,,fire screen sheet,50
,,,window shade,11
,,,doormat,9
,,,strainer,7
mobilenet_v2_0.75_96_quant,label,0.013071298599243164
,,,window screen,54
,,,fire screen sheet,50
,,,window shade,11
,,,doormat,9
,,,strainer,7
mobilenet_v2_0.75_96_quant,label,0.01323080062866211
,,,window screen,54
,,,fire screen sheet,50
,,,window shade,11
,,,doormat,9
,,,strainer,7
mobilenet_v2_0.75_96_quant,label,0.013069391250610352
,,,window screen,54
,,,fire screen sheet,50
,,,window shade,11
,,,doormat,9
,,,strainer,7
mobilenet_v2_1.0_160_quant,label,0.01518559455871582
,,,safety pin,39
,,,Papillon,22
,,,bow,21
,,,weighing scale,18
,,,oscilloscope,18
mobilenet_v2_1.0_160_quant,label,0.015161752700805664
,,,safety pin,39
,,,Papillon,22
,,,bow,21
,,,weighing scale,18
,,,oscilloscope,18
mobilenet_v2_1.0_160_quant,label,0.015159368515014648
,,,safety pin,39
,,,Papillon,22
,,,bow,21
,,,weighing scale,18
,,,oscilloscope,18
mobilenet_v2_1.0_160_quant,label,0.015161514282226562
,,,safety pin,39
,,,Papillon,22
,,,bow,21
,,,weighing scale,18
,,,oscilloscope,18
mobilenet_v2_1.0_160_quant,label,0.015149593353271484
,,,safety pin,39
,,,Papillon,22
,,,bow,21
,,,weighing scale,18
,,,oscilloscope,18
mobilenet_v2_1.0_160_quant,label,0.015134811401367188
,,,safety pin,39
,,,Papillon,22
,,,bow,21
,,,weighing scale,18
,,,oscilloscope,18
mobilenet_v2_1.0_160_quant,label,0.01532292366027832
,,,safety pin,39
,,,Papillon,22
,,,bow,21
,,,weighing scale,18
,,,oscilloscope,18
mobilenet_v2_1.0_160_quant,label,0.015320301055908203
,,,safety pin,39
,,,Papillon,22
,,,bow,21
,,,weighing scale,18
,,,oscilloscope,18
mobilenet_v2_1.0_160_quant,label,0.015308618545532227
,,,safety pin,39
,,,Papillon,22
,,,bow,21
,,,weighing scale,18
,,,oscilloscope,18
mobilenet_v2_1.0_160_quant,label,0.015320062637329102
,,,safety pin,39
,,,Papillon,22
,,,bow,21
,,,weighing scale,18
,,,oscilloscope,18
mobilenet_v2_1.0_160_quant,label,0.015365123748779297
,,,safety pin,39
,,,Papillon,22
,,,bow,21
,,,weighing scale,18
,,,oscilloscope,18
mobilenet_v2_1.0_160_quant,label,0.015267610549926758
,,,safety pin,39
,,,Papillon,22
,,,bow,21
,,,weighing scale,18
,,,oscilloscope,18
mobilenet_v2_1.0_160_quant,label,0.015242338180541992
,,,safety pin,39
,,,Papillon,22
,,,bow,21
,,,weighing scale,18
,,,oscilloscope,18
mobilenet_v2_1.0_160_quant,label,0.015336990356445312
,,,safety pin,39
,,,Papillon,22
,,,bow,21
,,,weighing scale,18
,,,oscilloscope,18
mobilenet_v2_1.0_160_quant,label,0.01533818244934082
,,,safety pin,39
,,,Papillon,22
,,,bow,21
,,,weighing scale,18
,,,oscilloscope,18
mobilenet_v2_1.0_160_quant,label,0.01544189453125
,,,safety pin,39
,,,Papillon,22
,,,bow,21
,,,weighing scale,18
,,,oscilloscope,18
mobilenet_v2_1.0_160_quant,label,0.015209197998046875
,,,safety pin,39
,,,Papillon,22
,,,bow,21
,,,weighing scale,18
,,,oscilloscope,18
mobilenet_v2_1.0_160_quant,label,0.015267372131347656
,,,safety pin,39
,,,Papillon,22
,,,bow,21
,,,weighing scale,18
,,,oscilloscope,18
mobilenet_v2_1.0_160_quant,label,0.015233278274536133
,,,safety pin,39
,,,Papillon,22
,,,bow,21
,,,weighing scale,18
,,,oscilloscope,18
mobilenet_v2_1.0_160_quant,label,0.015222311019897461
,,,safety pin,39
,,,Papillon,22
,,,bow,21
,,,weighing scale,18
,,,oscilloscope,18
mobilenet_v2_1.0_160_quant,label,0.015239715576171875
,,,safety pin,39
,,,Papillon,22
,,,bow,21
,,,weighing scale,18
,,,oscilloscope,18
mobilenet_v2_1.0_160_quant,label,0.015337944030761719
,,,safety pin,39
,,,Papillon,22
,,,bow,21
,,,weighing scale,18
,,,oscilloscope,18
mobilenet_v2_1.0_160_quant,label,0.015213251113891602
